Area_m2,YearBuilt,Furnished,Renovated,Location,PropertyType,HasBasement,ParkingSpaces,Bedrooms,Bathrooms,Condition,Price
50.9,1966.0,No,No,Zemun,Kuca,No,0.0,3,3,Good,108800
20.0,2016.0,Yes,Yes,Centar,Stan,Yes,1.0,2,1,Good,73300
59.1,1956.0,No,No,Zemun,Stan,No,1.0,3,1,Poor,68700
90.7,1985.0,Yes,No,Centar,Kuca,Yes,1.0,1,2,Excellent,319900
55.2,2016.0,Yes,No,Centar,Kuca,Yes,0.0,1,1,Excellent,209900
65.7,1979.0,No,No,Predgradje,Kuca,No,0.0,2,1,Excellent,91600
75.5,2020.0,No,No,Predgradje,Stan,No,0.0,2,1,Good,76900
39.6,1978.0,No,No,Periferia,Stan,No,3.0,3,1,Fair,53200
80.6,2021.0,Yes,Yes,Novi Beograd,Kuca,Yes,0.0,4,2,Excellent,259100
105.9,2023.0,Yes,No,Centar,Vila,No,0.0,3,1,Fair,366600
60.7,1982.0,Yes,Yes,Zemun,Kuca,No,2.0,3,3,Good,143400
36.8,2008.0,No,No,Vracar,Vila,No,1.0,1,2,Poor,95300
63.3,1969.0,Yes,No,Centar,Studio,Yes,1.0,3,2,Excellent,175500
20.0,1978.0,No,Yes,Vracar,Kuca,No,1.0,4,1,Fair,53100
73.4,2002.0,Yes,No,Centar,Stan,No,1.0,3,1,Fair,162700
76.3,1950.0,No,No,Predgradje,Kuca,No,1.0,2,2,Good,103900
106.9,1983.0,No,Yes,Novi Beograd,Kuca,Yes,0.0,4,2,Good,264100
60.2,1993.0,No,No,Zemun,Kuca,No,2.0,5,2,Good,141100
75.2,1963.0,Yes,Yes,Novi Beograd,Stan,Yes,0.0,2,1,Fair,151700
43.5,1986.0,No,No,Vracar,Kuca,No,0.0,2,2,Poor,87300
56.1,1984.0,No,Yes,Vracar,Stan,No,0.0,2,2,Good,128300
26.9,2008.0,No,No,Centar,Kuca,No,2.0,1,2,Excellent,95800
60.1,1973.0,Yes,Yes,Predgradje,Stan,No,1.0,4,2,Excellent,95100
57.4,,No,Yes,Periferia,Studio,Yes,2.0,4,3,Good,78500
72.5,1955.0,Yes,No,Predgradje,Stan,No,1.0,3,2,Excellent,91600
49.4,2017.0,Yes,No,Periferia,Stan,No,0.0,3,1,Good,82600
67.1,1987.0,No,Yes,Zemun,Stan,No,0.0,3,2,Good,122000
56.7,1950.0,No,No,Predgradje,Kuca,No,1.0,2,2,Good,67100
56.7,1990.0,No,Yes,Centar,Stan,No,0.0,3,1,Good,149200
67.0,1980.0,Yes,No,Centar,Stan,No,0.0,4,1,Good,165300
66.0,1985.0,Yes,No,Centar,Kuca,No,,4,2,Good,204800
84.0,2022.0,No,No,Novi Beograd,Stan,No,1.0,1,2,Fair,168400
62.0,2003.0,Yes,Yes,Novi Beograd,Vila,No,0.0,2,3,Fair,185200
56.3,1980.0,No,No,Novi Beograd,Vila,No,2.0,2,2,Poor,145300
60.5,,No,No,Periferia,Kuca,No,1.0,3,1,Good,96200
47.1,1952.0,No,Yes,Novi Beograd,Stan,Yes,0.0,3,2,Fair,95700
56.0,2007.0,Yes,Yes,Novi Beograd,Kuca,Yes,1.0,2,2,Fair,139700
115.8,2010.0,No,Yes,Vracar,Stan,Yes,0.0,3,1,Good,271600
42.2,1955.0,Yes,Yes,Centar,Stan,No,,2,1,Good,106800
58.0,1969.0,Yes,Yes,Periferia,Stan,No,0.0,2,1,Good,64300
55.3,2010.0,Yes,Yes,Centar,Vila,Yes,2.0,4,1,Good,236800
58.8,1995.0,Yes,No,Predgradje,Stan,No,1.0,1,2,Excellent,71600
56.7,1962.0,No,Yes,Periferia,Kuca,Yes,2.0,1,1,Excellent,117100
72.0,1972.0,No,Yes,Centar,Kuca,No,0.0,1,1,Excellent,238900
22.2,1980.0,,Yes,Centar,Stan,No,0.0,2,1,Good,48000
90.9,1953.0,Yes,No,Periferia,Stan,No,2.0,3,2,Fair,108400
80.8,2015.0,No,Yes,Zemun,Vila,Yes,1.0,3,1,Excellent,292400
33.9,1965.0,No,No,Zemun,Kuca,No,2.0,2,1,Fair,59800
20.0,1980.0,No,No,Periferia,Kuca,No,0.0,2,1,Fair,38700
40.6,1997.0,No,No,Centar,Stan,No,2.0,1,1,Good,109500
58.9,,Yes,Yes,Novi Beograd,Stan,No,1.0,2,1,Poor,103000
129.5,1953.0,No,No,Centar,Stan,No,0.0,3,2,Excellent,388800
78.6,2011.0,Yes,Yes,Periferia,Stan,No,1.0,2,1,Good,121300
20.0,1997.0,No,No,Zemun,Stan,No,2.0,2,1,Good,44500
47.8,1977.0,No,No,Novi Beograd,Studio,No,0.0,1,1,Good,93800
63.7,1965.0,No,No,Centar,Stan,Yes,3.0,1,2,Good,167400
71.3,,No,No,Novi Beograd,Stan,No,1.0,1,1,Poor,124500
32.1,1979.0,No,No,Novi Beograd,Kuca,No,0.0,3,3,Good,96100
61.6,2014.0,Yes,Yes,Zemun,Studio,No,0.0,2,2,Good,93200
47.1,2018.0,No,Yes,Zemun,Stan,No,1.0,1,1,Good,93000
37.4,1963.0,No,No,Periferia,Kuca,No,0.0,3,2,Good,61800
71.5,1983.0,Yes,No,Vracar,Stan,No,1.0,3,2,Fair,145300
84.3,2005.0,Yes,No,Centar,Stan,No,2.0,2,2,Fair,193600
86.0,1978.0,Yes,No,Zemun,Stan,No,1.0,1,2,Fair,133900
79.4,1974.0,Yes,No,Periferia,Studio,Yes,1.0,3,2,Good,102700
52.6,2015.0,No,No,Zemun,Stan,No,0.0,3,1,Excellent,122000
82.9,1989.0,Yes,No,Periferia,Stan,No,3.0,2,2,Excellent,137500
72.7,1964.0,No,No,Vracar,Stan,No,0.0,2,2,Good,169500
68.3,1981.0,No,No,Vracar,Studio,Yes,0.0,2,1,Good,132200
49.7,1969.0,Yes,No,Vracar,Stan,No,1.0,3,3,Good,131100
52.6,2002.0,No,No,Centar,Stan,Yes,2.0,3,1,Fair,134600
66.8,2016.0,,No,Centar,Stan,Yes,3.0,1,2,Fair,174200
126.0,1998.0,No,Yes,Centar,Stan,No,3.0,2,2,Excellent,407300
72.5,2016.0,Yes,Yes,Zemun,Kuca,Yes,2.0,4,2,Good,179400
49.7,1950.0,Yes,No,Novi Beograd,Kuca,No,1.0,2,3,Excellent,144000
44.2,1988.0,Yes,No,Vracar,Stan,No,0.0,2,2,Fair,96700
52.7,2010.0,Yes,No,Predgradje,Stan,Yes,,3,1,Good,59300
119.4,2004.0,No,No,Novi Beograd,Stan,No,0.0,2,2,Fair,225300
55.0,2018.0,Yes,No,Vracar,Stan,Yes,0.0,3,1,Fair,132200
87.7,1951.0,No,No,Periferia,Stan,No,0.0,3,1,Good,126300
55.6,1966.0,Yes,No,Novi Beograd,Studio,Yes,0.0,4,3,Fair,107800
71.5,1978.0,No,Yes,Centar,Vila,Yes,1.0,3,1,Fair,256100
84.8,1953.0,No,No,Novi Beograd,Vila,No,1.0,2,1,Fair,231100
50.7,2022.0,No,Yes,Centar,Studio,No,1.0,3,2,Poor,96200
49.0,2013.0,Yes,No,Predgradje,Kuca,No,2.0,4,1,Good,66200
106.5,1992.0,No,Yes,Periferia,Kuca,Yes,,2,1,Good,179200
89.6,1961.0,Yes,No,Zemun,Stan,Yes,2.0,1,2,,116400
84.8,1999.0,Yes,No,Periferia,Kuca,No,1.0,4,2,Fair,129500
84.7,2017.0,No,No,Periferia,Stan,No,0.0,2,1,Fair,101700
76.5,2010.0,No,No,Centar,Stan,No,0.0,1,2,Good,194900
115.4,2022.0,No,Yes,Periferia,Studio,No,1.0,2,3,Poor,108300
66.1,2000.0,No,No,Vracar,Stan,Yes,2.0,2,3,Good,153600
79.4,1954.0,No,No,Periferia,Stan,Yes,0.0,3,2,Poor,88600
28.7,1977.0,No,Yes,Periferia,Vila,No,2.0,2,1,Fair,56900
44.4,1959.0,No,No,Novi Beograd,Stan,Yes,1.0,1,1,Excellent,110900
35.0,2001.0,Yes,No,Centar,Stan,Yes,0.0,3,3,Good,98100
96.9,,No,No,Novi Beograd,Vila,Yes,1.0,3,1,Poor,233500
20.0,2014.0,Yes,No,Vracar,Kuca,No,1.0,4,3,,72300
54.9,1970.0,Yes,No,Periferia,Kuca,Yes,0.0,2,1,Good,99600
20.0,2003.0,No,No,Periferia,Stan,No,1.0,1,2,Excellent,35900
44.2,1998.0,Yes,No,Centar,Stan,No,2.0,3,1,Good,117500
52.7,1971.0,Yes,No,Vracar,Studio,Yes,1.0,1,1,Good,95600
99.6,2018.0,Yes,No,Vracar,Kuca,No,0.0,1,2,Excellent,323100
74.9,2013.0,No,No,Novi Beograd,Kuca,No,2.0,3,3,Fair,170500
44.2,1985.0,No,No,Centar,Stan,No,0.0,2,2,Good,107200
91.6,1970.0,Yes,No,Novi Beograd,Stan,Yes,0.0,3,1,Good,214400
65.4,2005.0,Yes,No,Predgradje,Vila,Yes,1.0,3,3,Poor,105100
65.9,2022.0,Yes,No,Novi Beograd,Stan,No,2.0,2,2,Poor,117400
34.9,1997.0,No,Yes,Vracar,Kuca,No,1.0,1,1,Fair,85000
40.2,1967.0,No,Yes,Zemun,Stan,Yes,1.0,2,1,Good,83900
44.4,1964.0,,No,Novi Beograd,Kuca,No,3.0,2,2,Good,122700
66.2,1993.0,,Yes,Predgradje,Vila,No,2.0,5,1,Good,121900
66.9,1994.0,No,No,Predgradje,Kuca,Yes,0.0,3,3,Poor,85500
103.6,1985.0,No,Yes,Novi Beograd,Stan,No,2.0,2,1,Good,227600
74.6,1989.0,Yes,Yes,Vracar,Kuca,Yes,,1,2,Excellent,250800
20.0,2000.0,Yes,No,Novi Beograd,Studio,No,0.0,1,1,Good,37400
71.6,1979.0,Yes,Yes,Novi Beograd,Stan,Yes,0.0,4,2,Good,165200
28.7,1975.0,No,No,Centar,Studio,No,1.0,4,1,Good,54400
40.9,1980.0,No,No,Zemun,Kuca,Yes,0.0,1,1,Good,90700
44.7,,No,No,Vracar,Studio,No,0.0,4,1,Good,90800
48.4,2010.0,No,No,Centar,Kuca,Yes,1.0,2,1,Excellent,193900
30.6,1966.0,No,Yes,Novi Beograd,Stan,No,2.0,2,1,,77600
70.1,1973.0,No,Yes,Predgradje,Stan,Yes,0.0,1,1,Excellent,97300
29.7,1953.0,Yes,Yes,Novi Beograd,Stan,Yes,1.0,3,1,Fair,82600
73.9,1958.0,No,Yes,Centar,Vila,Yes,1.0,2,1,Fair,262800
120.9,1951.0,No,No,Vracar,Studio,Yes,1.0,4,3,Poor,190400
31.8,1984.0,No,No,Predgradje,Kuca,No,,2,1,Good,39700
57.9,1987.0,Yes,No,Novi Beograd,Stan,No,1.0,3,1,Good,128600
20.0,1994.0,Yes,Yes,Zemun,Stan,No,1.0,1,1,Fair,48900
57.5,1964.0,Yes,No,Periferia,Studio,No,3.0,1,2,Fair,70900
81.1,1991.0,Yes,Yes,Novi Beograd,Stan,Yes,0.0,1,2,Excellent,215900
83.0,,Yes,Yes,Zemun,Stan,Yes,0.0,4,1,Excellent,206200
66.9,1980.0,No,No,Novi Beograd,Kuca,No,1.0,3,1,,165900
87.2,2001.0,,No,Zemun,Stan,No,1.0,2,2,Good,170400
128.7,1990.0,No,No,Zemun,Stan,No,0.0,2,3,Good,234700
107.8,2006.0,No,No,Vracar,Stan,No,0.0,3,3,Good,260700
51.9,1991.0,No,No,Centar,Stan,Yes,1.0,2,1,Excellent,159800
28.7,2002.0,Yes,No,Periferia,Vila,Yes,2.0,4,2,Fair,70600
54.8,2005.0,Yes,Yes,Novi Beograd,Stan,No,0.0,4,1,Good,118100
41.3,2021.0,Yes,Yes,Centar,Stan,No,1.0,3,2,Fair,119100
76.3,2002.0,No,No,Centar,Stan,Yes,0.0,3,1,Good,204500
35.5,1981.0,Yes,Yes,Zemun,Studio,No,1.0,3,1,Good,78800
63.2,2003.0,,No,Zemun,Stan,No,1.0,2,2,Good,118700
86.0,1986.0,Yes,Yes,Centar,Kuca,No,2.0,2,2,Fair,228700
62.5,1957.0,No,Yes,Vracar,Stan,No,0.0,1,2,Good,156700
41.3,1960.0,Yes,No,Novi Beograd,Stan,Yes,1.0,4,1,Fair,85100
94.4,2003.0,No,Yes,Zemun,Stan,No,0.0,3,2,Fair,132600
20.0,2009.0,Yes,No,Centar,Studio,No,1.0,1,2,Poor,42900
56.8,1959.0,Yes,Yes,Zemun,Studio,No,2.0,3,1,Good,103100
64.0,2019.0,No,No,Novi Beograd,Stan,Yes,2.0,2,1,Good,160200
65.4,1991.0,No,No,Predgradje,Kuca,No,1.0,4,2,,79600
69.5,1986.0,,No,Centar,Vila,Yes,2.0,2,1,,274100
80.3,2007.0,No,No,Novi Beograd,Stan,Yes,0.0,3,2,Good,186000
64.1,2008.0,No,Yes,Centar,Studio,No,0.0,2,2,Good,149800
55.8,1973.0,No,No,Predgradje,Stan,No,2.0,3,3,Good,60300
54.8,1977.0,Yes,No,Periferia,Vila,No,0.0,2,3,Good,115800
49.7,1986.0,Yes,No,Novi Beograd,Studio,No,0.0,2,1,Good,101500
84.7,1970.0,Yes,Yes,Zemun,Vila,No,1.0,3,1,Good,221600
48.8,1982.0,No,Yes,Periferia,Kuca,No,1.0,3,1,Excellent,97500
86.2,1951.0,,Yes,Zemun,Stan,No,0.0,5,1,Excellent,196800
65.5,1977.0,No,Yes,Vracar,Vila,No,2.0,3,1,Fair,228300
52.0,1964.0,Yes,Yes,Novi Beograd,Stan,No,,3,2,Fair,121500
80.5,1950.0,Yes,Yes,Centar,Stan,No,,4,2,Good,217800
46.8,1977.0,No,No,Periferia,Kuca,No,0.0,4,3,Fair,82300
81.0,1999.0,Yes,No,Predgradje,Studio,No,1.0,3,1,Poor,70800
70.3,1984.0,No,Yes,Zemun,Vila,No,2.0,3,2,Excellent,219700
50.1,1977.0,Yes,No,Novi Beograd,Stan,No,2.0,4,2,Fair,102700
78.2,1958.0,Yes,No,Novi Beograd,Studio,No,3.0,3,1,Excellent,189800
78.7,1973.0,No,No,Zemun,Kuca,No,1.0,3,1,Good,159200
93.9,2012.0,Yes,No,Periferia,Stan,No,3.0,1,2,Good,149400
89.2,1953.0,Yes,No,Periferia,Stan,Yes,0.0,3,1,Fair,116400
77.3,2005.0,No,No,Periferia,Stan,Yes,0.0,2,3,Fair,116100
36.8,1990.0,No,No,Zemun,Stan,No,2.0,1,2,Good,66200
126.2,2016.0,No,No,Centar,Vila,Yes,0.0,4,1,Fair,424400
29.9,1997.0,No,No,Centar,Kuca,No,0.0,3,1,Fair,77700
88.7,2007.0,Yes,No,Periferia,Kuca,No,2.0,2,1,Fair,122000
75.8,1988.0,Yes,Yes,Zemun,Vila,No,2.0,2,2,Fair,193100
35.6,1974.0,No,No,Centar,Stan,Yes,0.0,2,2,Fair,59900
61.9,2009.0,Yes,No,Centar,Studio,No,2.0,1,2,Good,142000
63.0,1996.0,Yes,No,Zemun,Stan,No,2.0,2,2,Fair,114300
97.6,2010.0,No,Yes,Centar,Studio,No,2.0,1,2,Poor,172100
47.2,1976.0,Yes,No,Centar,Stan,No,1.0,2,1,Good,129200
58.5,1991.0,No,Yes,Vracar,Vila,No,1.0,4,2,Excellent,259500
20.0,2001.0,Yes,No,Zemun,Stan,No,2.0,1,2,Fair,35300
108.4,1997.0,Yes,Yes,Zemun,Stan,No,1.0,1,1,Fair,194600
38.2,1981.0,Yes,No,Novi Beograd,Studio,No,1.0,4,3,Good,83900
73.2,,No,Yes,Zemun,Stan,No,1.0,3,2,Excellent,163900
62.5,1952.0,Yes,Yes,Novi Beograd,Kuca,No,1.0,1,1,Good,156600
62.5,1976.0,No,Yes,Novi Beograd,Stan,No,3.0,1,2,Good,138800
85.2,2022.0,No,Yes,Zemun,Kuca,No,0.0,3,3,Fair,181300
106.8,1989.0,Yes,No,Zemun,Stan,Yes,0.0,2,2,Good,199300
71.3,1972.0,No,Yes,Periferia,Stan,No,2.0,3,1,Poor,87000
81.4,1956.0,No,No,Zemun,Stan,No,0.0,2,3,Good,126300
73.2,1986.0,No,Yes,Zemun,Stan,No,1.0,5,1,Good,143200
90.4,1956.0,,No,Centar,Stan,Yes,,3,2,Excellent,279000
53.4,,No,Yes,Novi Beograd,Stan,Yes,1.0,1,1,Fair,100500
91.9,1966.0,No,No,Novi Beograd,Stan,No,2.0,2,1,Poor,143200
92.8,1968.0,Yes,No,Novi Beograd,Stan,No,1.0,3,3,Good,211100
92.1,1988.0,Yes,No,Predgradje,Kuca,Yes,0.0,1,2,Good,124300
48.5,1985.0,Yes,No,Novi Beograd,Studio,No,3.0,1,2,Good,99600
60.8,1964.0,Yes,No,Periferia,Stan,No,0.0,1,1,Fair,80800
71.0,2012.0,Yes,Yes,Zemun,Kuca,No,1.0,3,3,Fair,153100
30.7,1978.0,No,No,Periferia,Kuca,No,1.0,3,1,Good,60000
104.9,2009.0,Yes,No,Vracar,Stan,Yes,3.0,1,1,Fair,228400
64.7,2005.0,No,No,Zemun,Kuca,No,0.0,3,2,Excellent,5000
72.1,1989.0,No,Yes,Vracar,Stan,No,1.0,3,1,Good,177200
50.6,1965.0,No,No,Centar,Kuca,No,1.0,4,1,Good,137600
31.8,1982.0,No,No,Zemun,Stan,Yes,0.0,4,3,Good,78100
49.9,1965.0,Yes,No,Novi Beograd,Kuca,No,2.0,4,2,Good,127400
70.5,1979.0,No,No,Centar,Kuca,Yes,1.0,5,3,Fair,197300
81.8,2015.0,No,No,Zemun,Stan,No,2.0,2,2,Excellent,181400
69.0,1993.0,Yes,No,Centar,Stan,No,0.0,2,1,Fair,168000
73.7,1987.0,,No,Predgradje,Vila,No,2.0,2,1,Good,123800
56.6,2000.0,Yes,No,Predgradje,Stan,Yes,2.0,3,3,Fair,68800
77.4,2009.0,Yes,No,Predgradje,Kuca,No,1.0,2,1,,103600
102.1,1967.0,Yes,No,Novi Beograd,Vila,No,1.0,3,2,Fair,301800
82.6,,Yes,Yes,Centar,Kuca,No,3.0,1,1,Fair,218500
85.2,1989.0,Yes,No,Predgradje,Kuca,Yes,2.0,2,2,Excellent,132600
72.4,1955.0,No,No,Vracar,Studio,Yes,1.0,2,1,Fair,125400
27.4,1961.0,Yes,Yes,Predgradje,Studio,Yes,1.0,4,1,,36000
38.9,1961.0,No,No,Predgradje,Stan,No,2.0,1,2,Excellent,51600
76.4,2022.0,No,Yes,Periferia,Stan,No,0.0,4,1,Poor,85800
64.7,1971.0,No,Yes,Novi Beograd,Stan,Yes,1.0,1,2,Good,137700
76.0,1998.0,Yes,No,Novi Beograd,Vila,No,3.0,3,2,Fair,225000
106.9,1999.0,No,No,Periferia,Kuca,No,,2,2,Poor,123400
83.2,1953.0,Yes,Yes,Novi Beograd,Stan,No,2.0,2,1,Good,188700
96.5,1999.0,Yes,Yes,Centar,Studio,No,0.0,5,2,Excellent,268800
67.4,1952.0,No,No,Zemun,Stan,No,3.0,2,3,Poor,84900
44.8,1965.0,Yes,Yes,Predgradje,Stan,No,1.0,2,2,Good,58400
63.6,1963.0,Yes,Yes,Zemun,Kuca,No,0.0,3,2,Good,140000
44.9,2013.0,Yes,No,Zemun,Stan,No,1.0,3,3,Excellent,123000
104.0,1990.0,Yes,Yes,Centar,Studio,No,2.0,5,2,Poor,203100
84.8,2017.0,Yes,No,Zemun,Stan,No,0.0,3,1,Good,168600
78.0,,No,Yes,Predgradje,Studio,No,2.0,3,3,Good,92300
95.9,1951.0,Yes,No,Centar,Kuca,No,,2,1,Good,283200
20.0,1959.0,No,No,Vracar,Stan,No,0.0,3,3,Excellent,48100
79.7,1975.0,No,No,Periferia,Vila,No,,3,1,Excellent,187700
32.2,1953.0,No,No,Zemun,Kuca,No,2.0,2,1,Poor,35900
64.8,1977.0,No,No,Zemun,Stan,Yes,0.0,3,3,Good,122300
57.2,1951.0,No,No,Zemun,Stan,No,0.0,2,1,Good,90000
81.5,2015.0,No,No,Novi Beograd,Studio,No,1.0,2,1,Fair,146200
70.7,,No,Yes,Novi Beograd,Stan,No,0.0,2,2,Good,144900
98.6,2006.0,Yes,No,Periferia,Stan,Yes,2.0,2,2,Good,149400
50.0,1972.0,No,No,Periferia,Stan,No,1.0,3,1,Good,61600
82.7,1972.0,No,No,Periferia,Stan,Yes,3.0,1,1,Excellent,129100
69.1,1970.0,No,No,Predgradje,Studio,No,3.0,1,1,Poor,43000
24.1,1974.0,No,No,Vracar,Stan,Yes,,1,1,Excellent,61500
42.0,2007.0,Yes,Yes,Vracar,Stan,No,1.0,2,2,Good,111100
61.3,1986.0,Yes,No,Periferia,Stan,No,1.0,2,1,Good,81700
92.8,1998.0,No,No,Zemun,Stan,No,1.0,3,1,Excellent,197100
76.6,1964.0,Yes,Yes,Zemun,Vila,No,1.0,2,2,Good,206900
35.8,1977.0,No,No,Periferia,Stan,Yes,0.0,2,3,Good,21400
61.5,2016.0,,No,Periferia,Vila,No,0.0,3,2,Good,129800
115.4,,,No,Novi Beograd,Stan,No,0.0,3,1,Good,244400
67.8,1996.0,No,No,Novi Beograd,Stan,Yes,2.0,1,2,Excellent,180700
56.8,1999.0,Yes,No,Centar,Studio,No,0.0,4,3,Excellent,155800
77.3,2009.0,Yes,No,Zemun,Stan,No,0.0,5,2,Fair,143200
84.1,2011.0,Yes,Yes,Centar,Kuca,Yes,1.0,1,1,Fair,242900
53.6,2016.0,No,No,Vracar,Vila,Yes,0.0,3,3,Good,206300
77.6,2021.0,No,Yes,Vracar,Stan,Yes,0.0,1,2,Poor,143300
56.8,1992.0,Yes,No,Novi Beograd,Stan,No,1.0,1,2,Good,119500
83.0,2007.0,Yes,No,Zemun,Kuca,Yes,1.0,2,2,Fair,162100
69.2,2001.0,No,No,Centar,Stan,Yes,0.0,4,1,Good,186800
77.0,2018.0,No,No,Centar,Stan,No,1.0,3,1,Poor,155100
46.0,1995.0,Yes,No,Periferia,Stan,No,1.0,2,2,Fair,55900
44.5,1974.0,Yes,Yes,Novi Beograd,Stan,No,1.0,2,1,Good,111700
88.6,1974.0,No,No,Centar,Studio,No,1.0,2,1,Good,179900
63.0,1984.0,No,No,Vracar,Stan,Yes,0.0,2,1,Excellent,174700
72.1,2010.0,,Yes,Periferia,Stan,Yes,1.0,4,3,Excellent,136900
57.3,1964.0,No,No,Novi Beograd,Kuca,Yes,2.0,3,3,Good,156500
87.5,2023.0,No,Yes,Zemun,Stan,No,2.0,2,1,Poor,141200
49.8,1984.0,No,No,Centar,Stan,No,2.0,2,2,Excellent,157000
61.6,1978.0,No,No,Centar,Studio,No,1.0,4,1,Excellent,151000
84.6,,Yes,No,Vracar,Stan,No,,3,2,Excellent,252500
94.3,2018.0,Yes,Yes,Vracar,Studio,No,1.0,1,1,Fair,172600
51.9,1973.0,Yes,Yes,Zemun,Studio,No,2.0,2,2,Excellent,101800
114.0,1968.0,No,No,Zemun,Stan,No,2.0,2,1,Fair,177400
72.8,1995.0,No,No,Predgradje,Kuca,No,,5,1,Good,93800
38.9,1998.0,Yes,No,Vracar,Stan,No,0.0,2,1,Excellent,104200
74.2,1993.0,No,No,Novi Beograd,Stan,No,1.0,1,1,Fair,148400
55.4,2022.0,Yes,No,Periferia,Studio,No,0.0,2,3,Excellent,88300
75.9,1975.0,Yes,No,Novi Beograd,Studio,No,3.0,2,1,Fair,138600
63.9,1974.0,Yes,No,Vracar,Stan,Yes,0.0,3,1,Excellent,186700
66.9,1984.0,No,No,Centar,Kuca,Yes,0.0,2,1,Fair,178300
42.2,1985.0,No,No,Centar,Vila,No,2.0,1,1,Excellent,185200
89.8,1963.0,No,Yes,Predgradje,Vila,No,0.0,1,2,Poor,103000
36.1,2005.0,No,No,Periferia,Kuca,No,0.0,2,1,Good,56400
37.3,1955.0,Yes,No,Zemun,Stan,No,1.0,2,1,Good,66100
74.2,1981.0,No,No,Vracar,Stan,No,1.0,4,1,Good,174000
105.1,1975.0,Yes,Yes,Centar,Vila,Yes,0.0,2,1,Fair,370700
56.2,1964.0,Yes,No,Centar,Stan,No,1.0,1,1,Good,159200
82.5,1998.0,Yes,Yes,Novi Beograd,Kuca,No,0.0,3,2,Fair,198300
91.8,2005.0,,No,Vracar,Stan,No,1.0,4,1,Good,219100
85.4,1986.0,Yes,No,Zemun,Stan,Yes,1.0,2,2,Fair,153400
57.2,2002.0,Yes,Yes,Zemun,Stan,No,2.0,2,2,Excellent,133300
37.7,2007.0,No,No,Novi Beograd,Vila,No,1.0,3,1,Poor,99900
20.0,1985.0,Yes,No,Predgradje,Stan,Yes,1.0,1,2,,30400
58.4,1960.0,No,No,Zemun,Kuca,No,1.0,4,2,Fair,111500
94.5,1976.0,Yes,No,Zemun,Stan,No,0.0,4,2,Good,169200
36.9,1951.0,Yes,No,Zemun,Stan,No,,3,3,Fair,59900
82.5,,Yes,No,Vracar,Stan,No,2.0,2,1,Good,193100
41.2,2015.0,Yes,No,Novi Beograd,Kuca,Yes,0.0,1,1,Excellent,126900
67.7,1966.0,Yes,Yes,Novi Beograd,Stan,Yes,1.0,5,2,Good,148300
82.7,1953.0,No,Yes,Periferia,Stan,No,,3,1,Good,110500
48.5,1963.0,,No,Centar,Stan,Yes,2.0,2,1,Poor,112800
69.3,1956.0,Yes,No,Centar,Stan,No,,1,2,Good,158400
54.6,1965.0,Yes,No,Centar,Vila,No,1.0,3,2,Fair,171100
82.6,2015.0,No,Yes,Centar,Vila,No,1.0,5,1,Good,327300
